capec,name,parent,child
CAPEC-179,calling micro-services directly,CAPEC-554,
CAPEC-180,exploiting incorrectly configured access control security levels,CAPEC-122,CAPEC-58; CAPEC-679; CAPEC-680; CAPEC-681; CAPEC-702
CAPEC-181,flash file overlay,CAPEC-103,
CAPEC-182,flash injection,CAPEC-137,CAPEC-174; CAPEC-178
CAPEC-183,imap/smtp command injection,CAPEC-248,
CAPEC-184,software integrity attack,,CAPEC-185; CAPEC-186; CAPEC-663; CAPEC-669
CAPEC-185,malicious software download,CAPEC-184,
CAPEC-186,malicious software update,CAPEC-184,CAPEC-187; CAPEC-533; CAPEC-614; CAPEC-657
CAPEC-187,malicious automated software update via redirection,CAPEC-186,
CAPEC-188,reverse engineering,,CAPEC-167; CAPEC-189
CAPEC-189,black box reverse engineering,CAPEC-188,CAPEC-621; CAPEC-622; CAPEC-623
CAPEC-190,reverse engineer an executable to expose assumed hidden functionality,CAPEC-167,
CAPEC-191,read sensitive constants within an executable,CAPEC-167,
CAPEC-192,protocol analysis,,CAPEC-97
CAPEC-193,php remote file inclusion,CAPEC-253,
CAPEC-194,fake the source of data,CAPEC-151,CAPEC-275; CAPEC-543; CAPEC-544; CAPEC-598; CAPEC-633; CAPEC-697
CAPEC-195,principal spoof,CAPEC-151,CAPEC-599
CAPEC-196,session credential falsification through forging,CAPEC-21,CAPEC-59; CAPEC-226
CAPEC-197,exponential data expansion,CAPEC-230,
CAPEC-198,xss targeting error pages,CAPEC-588; CAPEC-591; CAPEC-592,
CAPEC-199,xss using alternate syntax,CAPEC-588; CAPEC-591; CAPEC-592,
CAPEC-200,"removal of filters: input filters, output filters, data masking",CAPEC-207,
CAPEC-201,serialized data external linking,CAPEC-122; CAPEC-278,
CAPEC-202,create malicious client,CAPEC-22,
CAPEC-203,manipulate registry information,CAPEC-176,CAPEC-51; CAPEC-270; CAPEC-478
CAPEC-204,lifting sensitive data embedded in cache,CAPEC-167,
CAPEC-206,signing malicious code,CAPEC-444,
CAPEC-207,removing important client functionality,CAPEC-22,CAPEC-200; CAPEC-208
CAPEC-208,removing/short-circuiting 'purse' logic: removing/mutating 'cash' decrements,CAPEC-207,
CAPEC-209,xss using mime type mismatch,CAPEC-592,
CAPEC-212,functionality misuse,,CAPEC-2; CAPEC-48; CAPEC-50; CAPEC-111; CAPEC-620; CAPEC-682
CAPEC-215,fuzzing for application mapping,CAPEC-28; CAPEC-54,
CAPEC-216,communication channel manipulation,,CAPEC-12; CAPEC-217
CAPEC-217,exploiting incorrectly configured ssl/tls,CAPEC-216,
CAPEC-218,spoofing of uddi/ebxml messages,CAPEC-148,
CAPEC-219,xml routing detour attacks,CAPEC-94,
CAPEC-220,client-server protocol manipulation,CAPEC-272,CAPEC-5; CAPEC-33; CAPEC-34; CAPEC-105; CAPEC-273; CAPEC-274
CAPEC-221,data serialization external entities blowup,CAPEC-231; CAPEC-278,
CAPEC-222,iframe overlay,CAPEC-103,
CAPEC-224,fingerprinting,,CAPEC-312; CAPEC-313; CAPEC-541
CAPEC-226,session credential falsification through manipulation,CAPEC-196,
CAPEC-227,sustained client engagement,,CAPEC-469
CAPEC-228,dtd injection,CAPEC-250,
CAPEC-229,serialized data parameter blowup,CAPEC-231,
CAPEC-230,serialized data with nested payloads,CAPEC-130,CAPEC-197; CAPEC-491
CAPEC-231,oversized serialized data payloads,CAPEC-130,CAPEC-221; CAPEC-229
CAPEC-233,privilege escalation,,CAPEC-30; CAPEC-68; CAPEC-69; CAPEC-104; CAPEC-234
CAPEC-234,hijacking a privileged process,CAPEC-233,
CAPEC-237,escaping a sandbox by calling code in another language,CAPEC-480,
CAPEC-240,resource injection,,CAPEC-610
CAPEC-242,code injection,,CAPEC-19; CAPEC-23; CAPEC-41; CAPEC-63; CAPEC-468
CAPEC-243,xss targeting html attributes,CAPEC-588; CAPEC-591; CAPEC-592,
CAPEC-244,xss targeting uri placeholders,CAPEC-588; CAPEC-591; CAPEC-592,
CAPEC-245,xss using doubled characters,CAPEC-588; CAPEC-591; CAPEC-592,
CAPEC-247,xss using invalid characters,CAPEC-588; CAPEC-591; CAPEC-592,
CAPEC-248,command injection,,CAPEC-40; CAPEC-66; CAPEC-88; CAPEC-136; CAPEC-183; CAPEC-250; CAPEC-676
CAPEC-250,xml injection,CAPEC-248,CAPEC-83; CAPEC-84; CAPEC-228
CAPEC-251,local code inclusion,CAPEC-175,CAPEC-252; CAPEC-640; CAPEC-660
CAPEC-252,php local file inclusion,CAPEC-251,
CAPEC-253,remote code inclusion,CAPEC-175,CAPEC-101; CAPEC-193; CAPEC-500
CAPEC-256,soap array overflow,CAPEC-100,
CAPEC-261,fuzzing for garnering other adjacent user/sensitive data,CAPEC-54,
CAPEC-263,force use of corrupted files,CAPEC-17,
CAPEC-267,leverage alternate encoding,CAPEC-153,CAPEC-3; CAPEC-4; CAPEC-43; CAPEC-52; CAPEC-53; CAPEC-64; CAPEC-71; CAPEC-72; CAPEC-78; CAPEC-79; CAPEC-80; CAPEC-120
CAPEC-268,audit log manipulation,CAPEC-161,CAPEC-81; CAPEC-93
CAPEC-270,modification of registry run keys,CAPEC-203,
CAPEC-271,schema poisoning,CAPEC-176,CAPEC-146
CAPEC-272,protocol manipulation,,CAPEC-90; CAPEC-220; CAPEC-276; CAPEC-277; CAPEC-278
CAPEC-273,http response smuggling,CAPEC-220,
CAPEC-274,http verb tampering,CAPEC-220,
CAPEC-275,dns rebinding,CAPEC-194,
CAPEC-276,inter-component protocol manipulation,CAPEC-272,CAPEC-665
CAPEC-277,data interchange protocol manipulation,CAPEC-272,
CAPEC-278,web services protocol manipulation,CAPEC-272,CAPEC-201; CAPEC-221; CAPEC-279
CAPEC-279,soap manipulation,CAPEC-278,
CAPEC-285,icmp echo request ping,CAPEC-292,
CAPEC-287,tcp syn scan,CAPEC-300,
CAPEC-290,enumerate mail exchange (mx) records,CAPEC-309,
CAPEC-291,dns zone transfers,CAPEC-309,
CAPEC-292,host discovery,CAPEC-169,CAPEC-285; CAPEC-294; CAPEC-295; CAPEC-296; CAPEC-297; CAPEC-298; CAPEC-299; CAPEC-612; CAPEC-613; CAPEC-618; CAPEC-619
CAPEC-293,traceroute route enumeration,CAPEC-309,
CAPEC-294,icmp address mask request,CAPEC-292,
CAPEC-295,timestamp request,CAPEC-292,
CAPEC-296,icmp information request,CAPEC-292,
CAPEC-297,tcp ack ping,CAPEC-292,
CAPEC-298,udp ping,CAPEC-292,
CAPEC-299,tcp syn ping,CAPEC-292,
CAPEC-300,port scanning,CAPEC-169,CAPEC-287; CAPEC-301; CAPEC-302; CAPEC-303; CAPEC-304; CAPEC-305; CAPEC-306; CAPEC-307; CAPEC-308
CAPEC-301,tcp connect scan,CAPEC-300,
CAPEC-302,tcp fin scan,CAPEC-300,
CAPEC-303,tcp xmas scan,CAPEC-300,
CAPEC-304,tcp null scan,CAPEC-300,
CAPEC-305,tcp ack scan,CAPEC-300,
CAPEC-306,tcp window scan,CAPEC-300,
CAPEC-307,tcp rpc scan,CAPEC-300,
CAPEC-308,udp scan,CAPEC-300,
CAPEC-309,network topology mapping,CAPEC-169,CAPEC-290; CAPEC-291; CAPEC-293; CAPEC-643
CAPEC-310,scanning for vulnerable software,CAPEC-541,
CAPEC-312,active os fingerprinting,CAPEC-224,CAPEC-317; CAPEC-318; CAPEC-319; CAPEC-320; CAPEC-321; CAPEC-322; CAPEC-323; CAPEC-324; CAPEC-325; CAPEC-326; CAPEC-327; CAPEC-328; CAPEC-329; CAPEC-330; CAPEC-331; CAPEC-332
CAPEC-313,passive os fingerprinting,CAPEC-224,
CAPEC-317,ip id sequencing probe,CAPEC-312,
CAPEC-318,ip 'id' echoed byte-order probe,CAPEC-312,
CAPEC-319,ip (df) 'don't fragment bit' echoing probe,CAPEC-312,
CAPEC-320,tcp timestamp probe,CAPEC-312,
CAPEC-321,tcp sequence number probe,CAPEC-312,
CAPEC-322,tcp (isn) greatest common divisor probe,CAPEC-312,
CAPEC-323,tcp (isn) counter rate probe,CAPEC-312,
CAPEC-324,tcp (isn) sequence predictability probe,CAPEC-312,
CAPEC-325,tcp congestion control flag (ecn) probe,CAPEC-312,
CAPEC-326,tcp initial window size probe,CAPEC-312,
CAPEC-327,tcp options probe,CAPEC-312,
CAPEC-328,tcp 'rst' flag checksum probe,CAPEC-312,
CAPEC-329,icmp error message quoting probe,CAPEC-312,
CAPEC-330,icmp error message echoing integrity probe,CAPEC-312,
CAPEC-331,icmp ip total length field probe,CAPEC-312,
CAPEC-332,icmp ip 'id' field error message probe,CAPEC-312,
CAPEC-383,harvesting information via api event monitoring,CAPEC-407,
CAPEC-384,application api message manipulation via man-in-the-middle,CAPEC-94,CAPEC-385; CAPEC-389
CAPEC-385,transaction or event tampering via application api manipulation,CAPEC-384,
CAPEC-386,application api navigation remapping,CAPEC-94,CAPEC-387; CAPEC-388
CAPEC-387,navigation remapping to propagate malicious content,CAPEC-386,
CAPEC-388,application api button hijacking,CAPEC-386,
CAPEC-389,content spoofing via application api manipulation,CAPEC-384,
CAPEC-390,bypassing physical security,,CAPEC-391; CAPEC-395
CAPEC-391,bypassing physical locks,CAPEC-390,CAPEC-392; CAPEC-393; CAPEC-394
CAPEC-392,lock bumping,CAPEC-391,
CAPEC-393,lock picking,CAPEC-391,
CAPEC-394,using a snap gun lock to force a lock,CAPEC-391,
CAPEC-395,bypassing electronic locks and access controls,CAPEC-390,CAPEC-397; CAPEC-398; CAPEC-399; CAPEC-400; CAPEC-626
CAPEC-397,cloning magnetic strip cards,CAPEC-395,
CAPEC-398,magnetic strip card brute force attacks,CAPEC-395,
CAPEC-399,cloning rfid cards or chips,CAPEC-395,
CAPEC-400,rfid chip deactivation or destruction,CAPEC-395,
CAPEC-401,physically hacking hardware,CAPEC-440,CAPEC-402
CAPEC-402,bypassing ata password security,CAPEC-401,
CAPEC-406,dumpster diving,CAPEC-150,
CAPEC-407,pretexting,CAPEC-410; CAPEC-416,CAPEC-383; CAPEC-412; CAPEC-413; CAPEC-414; CAPEC-415
CAPEC-410,information elicitation,,CAPEC-407
CAPEC-412,pretexting via customer service,CAPEC-407,
CAPEC-413,pretexting via tech support,CAPEC-407,
CAPEC-414,pretexting via delivery person,CAPEC-407,
CAPEC-415,pretexting via phone,CAPEC-407,
CAPEC-416,manipulate human behavior,,CAPEC-407; CAPEC-417; CAPEC-425; CAPEC-426; CAPEC-427
CAPEC-417,influence perception,CAPEC-416,CAPEC-418; CAPEC-420; CAPEC-421; CAPEC-422; CAPEC-423; CAPEC-424
CAPEC-418,influence perception of reciprocation,CAPEC-417,
CAPEC-420,influence perception of scarcity,CAPEC-417,
CAPEC-421,influence perception of authority,CAPEC-417,
CAPEC-422,influence perception of commitment and consistency,CAPEC-417,
CAPEC-423,influence perception of liking,CAPEC-417,
CAPEC-424,influence perception of consensus or social proof,CAPEC-417,
CAPEC-425,target influence via framing,CAPEC-416,
CAPEC-426,influence via incentives,CAPEC-416,
CAPEC-427,influence via psychological principles,CAPEC-416,CAPEC-428; CAPEC-429; CAPEC-433; CAPEC-434; CAPEC-435
CAPEC-428,influence via modes of thinking,CAPEC-427,
CAPEC-429,target influence via eye cues,CAPEC-427,
CAPEC-433,target influence via the human buffer overflow,CAPEC-427,
CAPEC-434,target influence via interview and interrogation,CAPEC-427,
CAPEC-435,target influence via instant rapport,CAPEC-427,
CAPEC-438,modification during manufacture,,CAPEC-444; CAPEC-447
CAPEC-439,manipulation during distribution,,CAPEC-522; CAPEC-523; CAPEC-524
CAPEC-440,hardware integrity attack,,CAPEC-401; CAPEC-534
CAPEC-441,malicious logic insertion,,CAPEC-442; CAPEC-452; CAPEC-456
CAPEC-442,infected software,CAPEC-441,CAPEC-448
CAPEC-443,malicious logic inserted into product by authorized developer,CAPEC-444,
CAPEC-444,development alteration,CAPEC-438,CAPEC-206; CAPEC-443; CAPEC-445; CAPEC-446; CAPEC-511; CAPEC-516; CAPEC-520; CAPEC-532; CAPEC-537; CAPEC-538; CAPEC-539; CAPEC-670; CAPEC-672; CAPEC-673; CAPEC-678
CAPEC-445,malicious logic insertion into product software via configuration management manipulation,CAPEC-444,
CAPEC-446,malicious logic insertion into product via inclusion of third-party component,CAPEC-444,
CAPEC-447,design alteration,CAPEC-438,CAPEC-517; CAPEC-518; CAPEC-519; CAPEC-521; CAPEC-671; CAPEC-674
CAPEC-448,embed virus into dll,CAPEC-442,
CAPEC-452,infected hardware,CAPEC-441,CAPEC-638
CAPEC-456,infected memory,CAPEC-441,CAPEC-457; CAPEC-458
CAPEC-457,usb memory attacks,CAPEC-456,
CAPEC-458,flash memory attacks,CAPEC-456,
CAPEC-459,creating a rogue certification authority certificate,CAPEC-473,
CAPEC-460,http parameter pollution (hpp),CAPEC-15,
CAPEC-461,web services api signature forgery leveraging hash function extension weakness,CAPEC-115,
CAPEC-462,cross-domain search timing,CAPEC-54,
CAPEC-463,padding oracle crypto attack,CAPEC-97,
CAPEC-464,evercookie,CAPEC-554,
CAPEC-465,transparent proxy abuse,CAPEC-554,
CAPEC-466,leveraging active adversary in the middle attacks to bypass same origin policy,CAPEC-94,
CAPEC-467,cross site identification,CAPEC-62,
CAPEC-468,generic cross-browser cross-domain theft,CAPEC-242,
CAPEC-469,http dos,CAPEC-227,
CAPEC-470,expanding control over the operating system from the database,CAPEC-66,
CAPEC-471,search order hijacking,CAPEC-159,
CAPEC-472,browser fingerprinting,CAPEC-541,
CAPEC-473,signature spoof,CAPEC-151,CAPEC-459; CAPEC-474; CAPEC-475; CAPEC-476; CAPEC-477; CAPEC-479; CAPEC-485
CAPEC-474,signature spoofing by key theft,CAPEC-473,
CAPEC-475,signature spoofing by improper validation,CAPEC-473,
CAPEC-476,signature spoofing by misrepresentation,CAPEC-473,
CAPEC-477,signature spoofing by mixing signed and unsigned content,CAPEC-473,
CAPEC-478,modification of windows service configuration,CAPEC-203,
CAPEC-479,malicious root certificate,CAPEC-473,
CAPEC-480,escaping virtualization,CAPEC-115,CAPEC-237
CAPEC-481,contradictory destinations in traffic routing schemes,CAPEC-161,
CAPEC-482,tcp flood,CAPEC-125,
CAPEC-485,signature spoofing by key recreation,CAPEC-473,
CAPEC-486,udp flood,CAPEC-125,
CAPEC-487,icmp flood,CAPEC-125,
CAPEC-488,http flood,CAPEC-125,
CAPEC-489,ssl flood,CAPEC-125,
CAPEC-490,amplification,CAPEC-125,
CAPEC-491,quadratic data expansion,CAPEC-230,
CAPEC-492,regular expression exponential blowup,CAPEC-130,
CAPEC-493,soap array blowup,CAPEC-130,
CAPEC-494,tcp fragmentation,CAPEC-130,
CAPEC-495,udp fragmentation,CAPEC-130,
CAPEC-496,icmp fragmentation,CAPEC-130,
CAPEC-497,file discovery,CAPEC-169,CAPEC-149
CAPEC-498,probe ios screenshots,CAPEC-545,
CAPEC-499,android intent intercept,CAPEC-117,CAPEC-501
CAPEC-500,webview injection,CAPEC-253,
CAPEC-501,android activity hijack,CAPEC-173; CAPEC-499,
CAPEC-502,intent spoof,CAPEC-148,
CAPEC-503,webview exposure,CAPEC-122,
CAPEC-504,task impersonation,CAPEC-173,CAPEC-654
CAPEC-505,scheme squatting,CAPEC-616,
CAPEC-506,tapjacking,CAPEC-173,
CAPEC-507,physical theft,,
CAPEC-508,shoulder surfing,CAPEC-651,
CAPEC-509,kerberoasting,CAPEC-652,
CAPEC-510,saas user request forgery,CAPEC-21,
CAPEC-511,infiltration of software development environment,CAPEC-444,
CAPEC-516,hardware component substitution during baselining,CAPEC-444,
CAPEC-517,documentation alteration to circumvent dial-down,CAPEC-447,
CAPEC-518,documentation alteration to produce under-performing systems,CAPEC-447,
CAPEC-519,documentation alteration to cause errors in system design,CAPEC-447,
CAPEC-520,counterfeit hardware component inserted during product assembly,CAPEC-444,
CAPEC-521,hardware design specifications are altered,CAPEC-447,
CAPEC-522,malicious hardware component replacement,CAPEC-439,
CAPEC-523,malicious software implanted,CAPEC-439,
CAPEC-524,rogue integration procedures,CAPEC-439,
CAPEC-528,xml flood,CAPEC-125,CAPEC-147
CAPEC-529,malware-directed internal reconnaissance,CAPEC-169,
CAPEC-530,provide counterfeit component,CAPEC-531,
