cwe_id,cwe_name,description,extended_description,capec_ids,parent_cwe_ids,child_cwe_ids,consequence_scopes,consequence_impacts,consequence_notes,consequence_text,mitigation_phases,mitigation_strategies,mitigation_effectiveness,mitigation_text,detection_methods,detection_effectiveness,detection_text
CWE-1038,Insecure Automated Optimizations,"The product uses a mechanism that automatically optimizes code, e.g. to improve a characteristic such as performance, but the optimizations can have an unintended side effect that might violate an intended security assumption.",,,"CWE-435, CWE-758",,Integrity,Alter Execution Logic,The optimizations alter the order of execution resulting in side effects that were not intended by the original developer.,Scopes: Integrity | Impacts: Alter Execution Logic | Notes: The optimizations alter the order of execution resulting in side effects that were not intended by the original developer.,,,,,,,
CWE-1039,Inadequate Detection or Handling of Adversarial Input Perturbations in Automated Recognition Mechanism,"The product uses an automated mechanism such as machine learning to recognize complex data inputs (e.g. image or audio) as a particular concept or category, but it does not properly detect or handle inputs that have been modified or constructed in a way that causes the mechanism to detect a different, incorrect concept.","When techniques such as machine learning are used to automatically classify input streams, and those classifications are used for security-critical decisions, then any mistake in classification can introduce a vulnerability that allows attackers to cause the product to make the wrong security decision or disrupt service of the automated mechanism. If the mechanism is not developed or ""trained"" with enough input data or has not adequately undergone test and evaluation, then attackers may be able to craft malicious inputs that intentionally trigger the incorrect classification. Targeted technologies include, but are not necessarily limited to: automated speech recognition automated image recognition automated cyber defense Chatbot, LLMs, generative AI For example, an attacker might modify road signs or road surface markings to trick autonomous vehicles into misreading the sign/marking and performing a dangerous action. Another example includes an attacker that crafts highly specific and complex prompts to ""jailbreak"" a chatbot to bypass safety or privacy mechanisms, better known as prompt injection attacks.",,"CWE-693, CWE-697",,"Integrity, Availability, Confidentiality, Other","Bypass Protection Mechanism, DoS: Resource Consumption (Other), DoS: Instability, Read Application Data, Varies by Context","When the automated recognition is used in a protection mechanism, an attacker may be able to craft inputs that are misinterpreted in a way that grants excess privileges. | There could be disruption to the service of the automated recognition system, which could cause further downstream failures of the software. | This weakness could lead to breaches of data privacy through exposing features of the training data, e.g., by using membership inference attacks or prompt injection attacks. | The consequences depend on how the application applies or integrates the affected algorithm.","Scopes: Integrity, Availability, Confidentiality, Other | Impacts: Bypass Protection Mechanism, DoS: Resource Consumption (Other), DoS: Instability, Read Application Data, Varies by Context | Notes: When the automated recognition is used in a protection mechanism, an attacker may be able to craft inputs that are misinterpreted in a way that grants excess privileges. | There could be disruption to the service of the automated recognition system, which could cause further downstream failures of the software. | This weakness could lead to breaches of data privacy through exposing features of the training data, e.g., by using membership inference attacks or prompt injection attacks. | The consequences depend on how the application applies or integrates the affected algorithm.","Architecture and Design, Implementation, Integration",,,"Algorithmic modifications such as model pruning or compression can help mitigate this weakness. Model pruning ensures that only weights that are most relevant to the task are used in the inference of incoming data and has shown resilience to adversarial perturbed data. | Consider implementing adversarial training, a method that introduces adversarial examples into the training data to promote robustness of algorithm at inference time. | Consider implementing model hardening to fortify the internal structure of the algorithm, including techniques such as regularization and optimization to desensitize algorithms to minor input perturbations and/or changes. | Consider implementing multiple models or using model ensembling techniques to improve robustness of individual model weaknesses against adversarial input perturbations. | Incorporate uncertainty estimations into the algorithm that trigger human intervention or secondary/fallback software when reached. This could be when inference predictions and confidence scores are abnormally high/low comparative to expected model performance. | Reactive defenses such as input sanitization, defensive distillation, and input transformations can all be implemented before input data reaches the algorithm for inference. | Consider reducing the output granularity of the inference/prediction such that attackers cannot gain additional information due to leakage in order to craft adversarially perturbed data.","Dynamic Analysis with Manual Results Interpretation, Architecture or Design Review",,Use indicators from model performance deviations such as sudden drops in accuracy or unexpected outputs to verify the model. | Use indicators from input data collection mechanisms to verify that inputs are statistically within the distribution of the training and test data. | Use multiple models or model ensembling techniques to check for consistency of predictions/inferences.
CWE-104,Struts: Form Bean Does Not Extend Validation Class,"If a form bean does not extend an ActionForm subclass of the Validator framework, it can expose the application to other weaknesses related to insufficient input validation.",,,"CWE-573, CWE-20",,"Other, Confidentiality, Integrity, Availability",Other,"Bypassing the validation framework for a form exposes the application to numerous types of attacks. Unchecked input is an important component of vulnerabilities like cross-site scripting, process control, and SQL injection. | Although J2EE applications are not generally susceptible to memory corruption attacks, if a J2EE application interfaces with native code that does not perform array bounds checking, an attacker may be able to use an input validation mistake in the J2EE application to launch a buffer overflow attack.","Scopes: Other, Confidentiality, Integrity, Availability | Impacts: Other | Notes: Bypassing the validation framework for a form exposes the application to numerous types of attacks. Unchecked input is an important component of vulnerabilities like cross-site scripting, process control, and SQL injection. | Although J2EE applications are not generally susceptible to memory corruption attacks, if a J2EE application interfaces with native code that does not perform array bounds checking, an attacker may be able to use an input validation mistake in the J2EE application to launch a buffer overflow attack.",Implementation,,,Ensure that all forms extend one of the Validation Classes.,Automated Static Analysis,High,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
CWE-1041,Use of Redundant Code,"The product has multiple functions, methods, procedures, macros, etc. that contain the same code.",,,CWE-710,,Other,Reduce Maintainability,"This issue makes it more difficult to maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. For example, if there are two copies of the same code, the programmer might fix a weakness in one copy while forgetting to fix the same weakness in another copy.","Scopes: Other | Impacts: Reduce Maintainability | Notes: This issue makes it more difficult to maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. For example, if there are two copies of the same code, the programmer might fix a weakness in one copy while forgetting to fix the same weakness in another copy.",Implementation,,,Merge common functionality into a single function and then call that function from across the entire code base.,Automated Static Analysis,,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
CWE-1042,Static Member Data Element outside of a Singleton Class Element,"The code contains a member element that is declared as static (but not final), in which its parent class element is not a singleton class - that is, a class element that can be used only once in the 'to' association of a Create action.",,,CWE-1176,,Other,Reduce Performance,"This issue can make the product perform more slowly. If the relevant code is reachable by an attacker, then this performance problem might introduce a vulnerability.","Scopes: Other | Impacts: Reduce Performance | Notes: This issue can make the product perform more slowly. If the relevant code is reachable by an attacker, then this performance problem might introduce a vulnerability.",,,,,,,
CWE-1043,Data Element Aggregating an Excessively Large Number of Non-Primitive Elements,The product uses a data element that has an excessively large number of sub-elements with non-primitive data types such as structures or aggregated objects.,"While the interpretation of ""excessively large"" may vary for each product or developer, CISQ recommends a default of 5 sub-elements.",,CWE-1093,,Other,Reduce Performance,"This issue can make the product perform more slowly. If the relevant code is reachable by an attacker, then this performance problem might introduce a vulnerability.","Scopes: Other | Impacts: Reduce Performance | Notes: This issue can make the product perform more slowly. If the relevant code is reachable by an attacker, then this performance problem might introduce a vulnerability.",,,,,,,
CWE-1044,Architecture with Number of Horizontal Layers Outside of Expected Range,The product's architecture contains too many - or too few - horizontal layers.,"While the interpretation of ""expected range"" may vary for each product or developer, CISQ recommends a default minimum of 4 layers and maximum of 8 layers.",,CWE-710,,Other,Reduce Maintainability,"This issue makes it more difficult to maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.","Scopes: Other | Impacts: Reduce Maintainability | Notes: This issue makes it more difficult to maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.",,,,,,,
CWE-1045,Parent Class with a Virtual Destructor and a Child Class without a Virtual Destructor,"A parent class has a virtual destructor method, but the parent has a child class that does not have a virtual destructor.",,,CWE-1076,,Other,Reduce Reliability,"This issue can prevent the product from running reliably, since the child might not perform essential destruction operations. If the relevant code is reachable by an attacker, then this reliability problem might introduce a vulnerability, such as a memory leak (CWE-401).","Scopes: Other | Impacts: Reduce Reliability | Notes: This issue can prevent the product from running reliably, since the child might not perform essential destruction operations. If the relevant code is reachable by an attacker, then this reliability problem might introduce a vulnerability, such as a memory leak (CWE-401).",,,,,,,
CWE-1046,Creation of Immutable Text Using String Concatenation,The product creates an immutable text string using string concatenation operations.,"When building a string via a looping feature (e.g., a FOR or WHILE loop), the use of += to append to the existing string will result in the creation of a new object with each iteration, which can be inefficient in comparison with use of text buffer data elements.",,CWE-1176,,Other,Reduce Performance,"This issue can make the product perform more slowly. If the relevant code is reachable by an attacker, then this could be influenced to create performance problem.","Scopes: Other | Impacts: Reduce Performance | Notes: This issue can make the product perform more slowly. If the relevant code is reachable by an attacker, then this could be influenced to create performance problem.",,,,,,,
CWE-1047,Modules with Circular Dependencies,"The product contains modules in which one module has references that cycle back to itself, i.e., there are circular dependencies.","As an example, with Java, this weakness might indicate cycles between packages.",,CWE-1120,,Other,Reduce Maintainability,"This issue makes it more difficult to maintain the product due to insufficient modularity, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It can also prevent the product from running reliably. If the relevant code is reachable by an attacker, then this reliability problem might introduce a vulnerability.","Scopes: Other | Impacts: Reduce Maintainability | Notes: This issue makes it more difficult to maintain the product due to insufficient modularity, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It can also prevent the product from running reliably. If the relevant code is reachable by an attacker, then this reliability problem might introduce a vulnerability.",,,,,,,
CWE-1048,Invokable Control Element with Large Number of Outward Calls,"The code contains callable control elements that contain an excessively large number of references to other application objects external to the context of the callable, i.e. a Fan-Out value that is excessively large.","While the interpretation of ""excessively large Fan-Out value"" may vary for each product or developer, CISQ recommends a default of 5 referenced objects.",,CWE-710,,Other,"Reduce Maintainability, Increase Analytical Complexity","This issue makes it more difficult to maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.","Scopes: Other | Impacts: Reduce Maintainability, Increase Analytical Complexity | Notes: This issue makes it more difficult to maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.",,,,,,,
CWE-1049,Excessive Data Query Operations in a Large Data Table,The product performs a data query with a large number of joins and sub-queries on a large data table.,"While the interpretation of ""large data table"" and ""large number of joins or sub-queries"" may vary for each product or developer, CISQ recommends a default of 1 million rows for a ""large"" data table, a default minimum of 5 joins, and a default minimum of 3 sub-queries.",,CWE-1176,,Other,Reduce Performance,"This issue can make the product perform more slowly. If the relevant code is reachable by an attacker, then this performance problem might introduce a vulnerability.","Scopes: Other | Impacts: Reduce Performance | Notes: This issue can make the product perform more slowly. If the relevant code is reachable by an attacker, then this performance problem might introduce a vulnerability.",,,,,,,
CWE-105,Struts: Form Field Without Validator,"The product has a form field that is not validated by a corresponding validation form, which can introduce other weaknesses related to insufficient input validation.","Omitting validation for even a single input field may give attackers the leeway they need to compromise the product. Although J2EE applications are not generally susceptible to memory corruption attacks, if a J2EE application interfaces with native code that does not perform array bounds checking, an attacker may be able to use an input validation mistake in the J2EE application to launch a buffer overflow attack.",,"CWE-1173, CWE-20",,Integrity,"Unexpected State, Bypass Protection Mechanism","If unused fields are not validated, shared business logic in an action may allow attackers to bypass the validation checks that are performed for other uses of the form.","Scopes: Integrity | Impacts: Unexpected State, Bypass Protection Mechanism | Notes: If unused fields are not validated, shared business logic in an action may allow attackers to bypass the validation checks that are performed for other uses of the form.",Implementation,,,"Validate all form fields. If a field is unused, it is still important to constrain it so that it is empty or undefined.",,,
CWE-1050,Excessive Platform Resource Consumption within a Loop,"The product has a loop body or loop condition that contains a control element that directly or indirectly consumes platform resources, e.g. messaging, sessions, locks, or file descriptors.",,,CWE-405,,Availability,"DoS: Resource Consumption (CPU), DoS: Resource Consumption (Memory), DoS: Resource Consumption (Other), Reduce Performance","This issue can make the product perform more slowly. If an attacker can influence the number of iterations in the loop, then this performance problem might allow a denial of service by consuming more platform resources than intended.","Scopes: Availability | Impacts: DoS: Resource Consumption (CPU), DoS: Resource Consumption (Memory), DoS: Resource Consumption (Other), Reduce Performance | Notes: This issue can make the product perform more slowly. If an attacker can influence the number of iterations in the loop, then this performance problem might allow a denial of service by consuming more platform resources than intended.",,,,,,,
CWE-1051,Initialization with Hard-Coded Network Resource Configuration Data,The product initializes data using hard-coded values that act as network resource identifiers.,,,CWE-1419,,Other,Reduce Reliability,"This issue can prevent the product from running reliably, e.g. if it runs in an environment does not use the hard-coded network resource identifiers. If the relevant code is reachable by an attacker, then this reliability problem might introduce a vulnerability.","Scopes: Other | Impacts: Reduce Reliability | Notes: This issue can prevent the product from running reliably, e.g. if it runs in an environment does not use the hard-coded network resource identifiers. If the relevant code is reachable by an attacker, then this reliability problem might introduce a vulnerability.",,,,,,,
CWE-1052,Excessive Use of Hard-Coded Literals in Initialization,The product initializes a data element using a hard-coded literal that is not a simple integer or static constant element.,,,CWE-1419,,Other,Reduce Maintainability,"This issue makes it more difficult to modify or maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.","Scopes: Other | Impacts: Reduce Maintainability | Notes: This issue makes it more difficult to modify or maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.",,,,,,,
CWE-1053,Missing Documentation for Design,The product does not have documentation that represents how it is designed.,,,CWE-1059,,Other,"Reduce Maintainability, Increase Analytical Complexity",This issue can make it more difficult to understand and maintain the product. It can make it more difficult and time-consuming to detect and/or fix vulnerabilities.,"Scopes: Other | Impacts: Reduce Maintainability, Increase Analytical Complexity | Notes: This issue can make it more difficult to understand and maintain the product. It can make it more difficult and time-consuming to detect and/or fix vulnerabilities.",,,,,,,
CWE-1054,Invocation of a Control Element at an Unnecessarily Deep Horizontal Layer,"The code at one architectural layer invokes code that resides at a deeper layer than the adjacent layer, i.e., the invocation skips at least one layer, and the invoked code is not part of a vertical utility layer that can be referenced from any horizontal layer.",,,CWE-1061,,Other,Reduce Maintainability,"This issue makes it more difficult to understand and maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.","Scopes: Other | Impacts: Reduce Maintainability | Notes: This issue makes it more difficult to understand and maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.",,,,,,,
CWE-1055,Multiple Inheritance from Concrete Classes,The product contains a class with inheritance from more than one concrete class.,,,CWE-1093,,Other,Reduce Maintainability,"This issue makes it more difficult to maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.","Scopes: Other | Impacts: Reduce Maintainability | Notes: This issue makes it more difficult to maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.",,,,,Automated Static Analysis,,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
